Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Last 5,Top Team Scorer,Goalkeeper
F,ar Argentina,7,7,0,0,19,7,+12,21,W W W W W,Lionel Messi - 8,Emiliano Martínez
F,es Spain,7,6,1,0,13,1,+12,19,W W W W W,Mikel Oyarzabal - 5,Unai Simón
3P,fr France,7,6,0,1,16,4,+12,18,W W W W L,Kylian Mbappé - 8,Mike Maignan
3P,eng England,7,5,1,1,14,8,+6,16,W W W W L,Harry Kane Jude Bellingham - 6,Jordan Pickford
QF,no Norway,6,4,0,2,13,11,+2,12,W L W W L,Erling Haaland - 7,Ørjan Nyland
QF,be Belgium,6,3,2,1,14,7,+7,11,D W W W L,Romelu Lukaku Charles De Ketelaere - 3,Thibaut Courtois
QF,ma Morocco,6,3,2,1,10,6,+4,11,W W D W L,Ismael Saibari - 3,Yassine Bounou
QF,ch Switzerland,6,3,2,1,10,6,+4,11,W W W D L,Johan Manzambi - 3,Gregor Kobel
R16,mx Mexico,5,4,0,1,10,3,+7,12,W W W W L,Julián Quiñones - 4,Raúl Rangel
R16,co Colombia,5,3,2,0,5,1,+4,11,W W D W D,Daniel Muñoz - 2,Camilo Vargas
R16,br Brazil,5,3,1,1,10,4,+6,10,D W W W L,Vinicius Júnior - 4,Alisson
R16,us United States,5,3,0,2,11,8,+3,9,W W L W L,Folarin Balogun - 3,Matt Freese
R16,pt Portugal,5,2,2,1,8,3,+5,8,D W D W L,Cristiano Ronaldo - 3,Diogo Costa
R16,ca Canada,5,2,1,2,9,6,+3,7,D W L W L,Jonathan David - 3,Maxime Crépeau
R16,eg Egypt,5,1,3,1,8,7,+1,6,D W D D L,Emam Ashour Mostafa Ziko - 2,Mostafa Shobeir
R16,py Paraguay,5,1,2,2,3,6,-3,5,L W D D L,Matías Galarza Julio Enciso... - 1,Orlando Gill
R32,nl Netherlands,4,2,2,0,11,5,+6,8,W D W W D,Cody Gakpo Brian Brobbey - 3,Bart Verbruggen
R32,de Germany,4,2,1,1,11,5,+6,7,W W W L D,Deniz Undav Kai Havertz - 3,Manuel Neuer
R32,ci Côte d'Ivoire,4,2,0,2,5,4,+1,6,W W L W L,Nicolas Pépé Amad Diallo - 2,Yahia Fofana
R32,hr Croatia,4,2,0,2,6,7,-1,6,W L W W L,Ivan Perišić Nikola Vlašić... - 1,Dominik Livaković
R32,jp Japan,4,1,2,1,8,5,+3,5,W D W D L,Daichi Kamada Ayase Ueda - 2,Zion Suzuki
R32,au Australia,4,1,2,1,3,3,0,5,D W L D D,Connor Metcalfe Nestory Irankunda - 1,Patrick Beach
R32,cd Congo DR,4,1,1,2,5,5,0,4,L D L W L,Yoane Wissa - 3,Lionel Mpasi
R32,gh Ghana,4,1,1,2,2,3,-1,4,D W D L L,Derrick Luckassen Caleb Yirenkyi - 1,Benjamin Asare
R32,ec Ecuador,4,1,1,2,2,4,-2,4,W L D W L,Gonzalo Plata Nilson Angulo - 1,Hernán Galíndez
R32,za South Africa,4,1,1,2,2,4,-2,4,D L D W L,Teboho Mokoena Thapelo Maseko - 1,Ronwen Williams
R32,se Sweden,4,1,1,2,7,10,-3,4,D W L D L,Anthony Elanga Yasin Ayari - 2,Kristoffer Nordfeldt Jacob Widell Zetterström
R32,at Austria,4,1,1,2,6,9,-3,4,W W L D L,Marko Arnautović - 2,Alexander Schlager
R32,ba Bosnia–Herz,4,1,1,2,5,8,-3,4,D D L W L,Ermin Mahmić - 2,Nikola Vasilj
R32,dz Algeria,4,1,1,2,5,9,-4,4,W L W D L,Riyad Mahrez - 2,Luca Zidane
R32,sn Senegal,4,1,0,3,10,9,+1,3,D L L W L,Ismaila Sarr - 4,Mory Diaw
R32,cv Cabo Verde,4,0,3,1,4,5,-1,3,W D D D L,Deroy Duarte Kevin Pina... - 1,Vozinha
GR,ir IR Iran,3,0,3,0,3,3,0,3,W W D D D,Ramin Rezaeian - 2,Alireza Beiranvand
GR,kr Korea Republic,3,1,0,2,2,3,-1,3,W W W L L,Hwang In-beom Oh Hyeon-gyu - 1,Kim Seung-gyu
GR,tr Türkiye,3,1,0,2,3,5,-2,3,W W L L W,Kaan Ayhan Barış Alper Yılmaz... - 1,Uğurcan Çakır
GR,sct Scotland,3,1,0,2,1,4,-3,3,W W W L L,John McGinn - 1,Angus Gunn
GR,uy Uruguay,3,0,2,1,3,4,-1,2,D D D D L,Maxi Araújo - 2,Fernando Muslera
GR,sa Saudi Arabia,3,0,2,1,1,5,-4,2,W D D L D,Abdulelah Al-Amri - 1,Mohammed Al-Owais
GR,cz Czechia,3,0,1,2,2,6,-4,1,W W L D L,Ladislav Krejčí Michal Sadílek - 1,Matej Kovar
GR,nz New Zealand,3,0,1,2,4,10,-6,1,L L D L L,Elijah Just - 3,Max Crocombe
GR,qa Qatar,3,0,1,2,2,10,-8,1,L D D L L,Hassan Al-Haydos Boualem Khoukhi - 1,Mahmoud Abunada
GR,cw Curaçao,3,0,1,2,1,9,-8,1,L W L D L,Livano Comenencia - 1,Eloy Room
GR,pa Panama,3,0,0,3,0,4,-4,0,W D L L L,,Orlando Mosquera
GR,jo Jordan,3,0,0,3,3,8,-5,0,L L L L L,Musa Al-Taamari Ali Olwan... - 1,Yazeed Abulaila
GR,ht Haiti,3,0,0,3,2,8,-6,0,W L L L L,Wilson Isidor - 1,Johny Placide
GR,uz Uzbekistan,3,0,0,3,2,11,-9,0,L L L L L,Eldor Shomurodov Abbosbek Fayzullayev - 1,Abduvohid Nematov
GR,tn Tunisia,3,0,0,3,2,12,-10,0,L L L L L,Omar Rekik Hazem Mastouri - 1,Aymen Dahmen
GR,iq Iraq,3,0,0,3,1,12,-11,0,D L L L L,Ayman Hussein - 1,Jalal Hassan Ahmed Basil